"תאריך","הגרלה","_1_","_2_","_3_","_4_","_5_","_6_","_7_","_8_","_9_","_10_","_11_","_12_","_13_","_14_","_15_","_16_","_17_","מספר_הזוכים_בפרס_הראשון"
"25/04/13","6145","01","02","11","15","19","25","26","32","33","37","38","41","42","45","52","56","57","0"
"25/04/13","6144","02","03","06","07","17","27","33","35","36","38","39","40","47","52","63","66","67","0"
"24/04/13","6143","15","25","27","29","30","33","38","40","41","44","48","52","53","60","65","68","70","0"
"24/04/13","6142","01","05","10","11","20","29","30","35","39","43","44","48","50","56","59","61","70","0"
"23/04/13","6141","04","09","14","15","19","27","28","37","40","45","46","50","51","55","59","60","64","0"
"23/04/13","6140","01","04","05","09","21","29","31","38","40","44","49","51","55","57","59","65","66","0"
"22/04/13","6139","01","11","14","25","27","30","33","39","41","44","45","48","50","55","56","61","66","0"
"22/04/13","6138","01","02","03","06","08","09","13","20","21","39","42","44","45","48","49","59","63","0"
"21/04/13","6137","01","02","14","17","18","21","26","29","33","35","37","38","50","54","57","64","68","0"
"21/04/13","6136","09","11","18","26","28","29","32","43","47","49","53","54","55","57","62","63","67","0"
"20/04/13","6135","01","03","05","09","14","16","18","20","22","29","35","36","51","59","60","67","68","1"
"19/04/13","6134","01","10","20","23","27","33","42","45","47","48","50","52","55","58","59","64","65","0"
"18/04/13","6133","01","02","13","18","20","23","30","37","39","41","45","47","48","58","62","68","70","0"
"18/04/13","6132","02","06","08","10","17","22","28","29","38","44","45","51","57","59","60","64","70","0"
"17/04/13","6131","13","17","21","22","24","26","29","33","34","35","37","39","48","50","59","68","70","2"
"17/04/13","6130","04","05","11","24","30","35","42","45","49","50","58","59","60","63","64","65","67","0"
"16/04/13","6129","03","08","09","11","13","20","27","35","39","42","44","45","46","47","54","66","67","0"
"16/04/13","6128","07","09","12","13","17","28","29","33","35","38","44","49","53","54","57","63","66","1"
"15/04/13","6127","05","07","09","12","14","15","17","19","20","21","32","46","49","53","61","65","69","2"
"14/04/13","6126","03","05","13","15","17","20","27","28","32","33","39","41","54","62","64","67","69","0"
"14/04/13","6125","04","08","09","13","15","16","17","22","44","47","50","51","55","57","61","66","67","0"
"13/04/13","6124","05","13","18","21","23","26","40","42","43","44","47","50","53","55","56","58","59","0"
"12/04/13","6123","05","10","12","18","20","22","31","34","36","42","55","57","58","61","63","65","66","1"
"11/04/13","6122","03","06","13","18","19","23","27","39","40","42","43","45","46","54","56","68","70","0"
"11/04/13","6121","02","03","07","11","12","16","20","23","30","33","35","38","44","49","58","66","69","0"
"10/04/13","6120","01","15","16","18","19","22","29","35","36","37","39","46","50","54","59","62","69","0"
"10/04/13","6119","03","06","09","10","13","20","27","28","33","46","50","53","61","64","65","68","69","0"
"09/04/13","6118","06","11","18","19","23","29","33","35","37","41","44","46","48","59","60","61","70","1"
"09/04/13","6117","04","06","18","19","22","23","27","31","34","35","37","41","54","56","64","67","68","0"
"08/04/13","6116","06","08","09","15","16","23","25","34","43","50","52","53","55","56","62","65","68","0"
"07/04/13","6115","12","15","18","23","26","28","33","35","42","46","50","53","54","55","56","63","69","0"
"07/04/13","6114","10","11","13","20","23","35","42","43","45","48","50","53","54","56","62","63","66","0"
"06/04/13","6113","04","06","08","09","10","16","17","27","28","34","35","36","37","38","45","50","57","0"
"05/04/13","6112","14","18","21","29","32","34","40","43","44","45","46","47","50","52","53","55","64","0"
"04/04/13","6111","09","10","11","20","22","23","26","28","34","43","53","57","60","62","63","65","67","0"
"04/04/13","6110","03","09","23","26","27","29","30","44","45","46","47","51","58","61","62","64","68","0"
"03/04/13","6109","02","25","34","36","37","38","42","46","47","48","53","54","57","59","60","66","69","4"
"03/04/13","6108","02","11","16","18","31","32","33","40","42","52","54","57","58","59","62","63","67","1"
"02/04/13","6107","06","07","14","19","26","28","29","30","31","33","36","40","42","52","55","60","69","0"
"02/04/13","6106","05","06","11","14","21","24","25","26","29","36","37","38","41","43","50","54","63","0"
"01/04/13","6105","02","09","10","11","17","23","35","36","37","38","42","53","54","56","58","60","64","0"
"31/03/13","6104","01","05","11","14","22","24","25","26","28","31","34","42","47","49","54","63","70","0"
"30/03/13","6103","04","10","15","23","25","27","28","32","37","42","45","47","49","50","51","63","69","0"
